Désignation article;Désignation famille;Désignation sous famille;Article;Prix VENTE;Stock en UV;Code TVA
FRAIS ADMINISTRATIF           	ARTICLES DIVERS               	ARTICLES DIVERS               	1	1.7	124	2
PARFAIT TRIPLE SEC 70CL       	ALCOOL                        	LIQUEURS CREMES               	182	12.8	10	2
LIQUEUR FIREBALL 70CL         	ALCOOL                        	LIQUEURS CREMES               	183	19.05045071411	-1	2
MINT'S VERT 15° MB 70CL       	ALCOOL                        	LIQUEURS CREMES               	188	10.45	29	2
PISANG AMBON LIQUEUR 70CL     	ALCOOL                        	LIQUEURS CREMES               	190	11.17	6	2
VODKA ARRANGE STOLI CITROS 70C	ALCOOL                        	VODKA                         	192	13.961	17	2
VODKA ARRANGE STOLI HOT 70CL  	ALCOOL                        	VODKA                         	193	13.961	13	2
VODKA ARRANGE STOLI MIEL 70CL 	ALCOOL                        	VODKA                         	197	13.691	11	2
VODKA SOBIESKI 70CL           	ALCOOL                        	VODKA                         	206	10.9	40	2
VODKA ZUBROWKA HERB BISON 70CL	ALCOOL                        	VODKA                         	210	14.3	0	2
TEQUILA JOSE CUERVO GOLD 70CL 	ALCOOL                        	TEQUILA                       	212	18	11	2
WH.LAPHROAIG QUARTER CASK 70CL	ALCOOL                        	WHISKY ECOSSAIS               	223	40	10	2
WHISKY TOKINOKA WHITE 40° 50CL	ALCOOL                        	WHISKY                        	225	21	3	2
WHISKY BALLANTINES 21A 70CL   	ALCOOL                        	WHISKY VIEUX                  	233	122.397	1	2
WHISKY JACK DANIEL'S N°7  70CL	ALCOOL                        	BOURBON                       	257	17.9	18	2
WH JIM BEAM WHITE 70CL        	ALCOOL                        	BOURBON                       	258	9.8774	87	2
WH CONNEMARA DISTILLER'S 70CL 	ALCOOL                        	WHISKY IRLANDAIS              	264	33.25	6	2
WHISKY PADDY 70CL             	ALCOOL                        	WHISKY IRLANDAIS              	275	16.4	9	2
MAUBET CUVEE COUP COEUR 75CL  	VINS                          	COTES DE GASCOGNE             	291	5.778000283241	17	2
VILLA DRIA PETIT MANSENG 75CL 	VINS                          	COTES DE GASCOGNE             	295	4.653	6	2
TATTOO SAUVIGNON GROS MANS 75C	VINS                          	COTES DE GASCOGNE             	296	5.5	0	2
MAUBET BLANC SEC FRUITE 75CL  	VINS                          	COTES DE GASCOGNE             	297	4.2	33	2
RHUM ARRANGE EPICES 70CL      	ALCOOL                        	RHUMS DOMS                    	298	19.28711929321	2	2
LONGUEROCHE L'OC BLANC 75CL   	VINS                          	IGP OC                        	302	4.859999871254	23	2
LONGUEROCHE L'OC ROSE 75CL    	VINS                          	IGP OC                        	303	4.859999871254	316	2
LONGUEROCHE L'OC ROUGE 75CL   	VINS                          	IGP OC                        	304	4.859999871254	8	2
LONGUEROCHE LE VIOGNIER  75CL 	VINS                          	IGP OC                        	305	7.019999742508	14	2
RAMON BILBAO CRIANZA 75CL     	VINS                          	ESPAGNE AOC                   	327	5.418	6	2
ESCUDO ROJO CHARDONNAY 75CL   	VINS                          	CHILI                         	332	13.33800029755	4	2
ESCUDO ROJO ROUGE 2022 75CL   	VINS                          	CHILI                         	333	14.48200044632	22	2
LA CLEF DU VIN TRAVEL PEUGEOT 	ARTICLES DIVERS               	CARAFES + ART VINS SPIRITUEUX 	368	37.03749895096	0	2
CARAFE PICPOUL BEC BISEAUTE   	ARTICLES DIVERS               	CARAFES + ART VINS SPIRITUEUX 	369	25.09999990463	2	2
VERRE ESPRIT 180 MERLOT 40CL  	ARTICLES DIVERS               	CARAFES + ART VINS SPIRITUEUX 	370	8.550000190735	8	2
DÉTENDEURS INTERM 3 SORTIES   	MATERIELS                     	MATERIEL VENTE                	395	106.11	-9	2
DETENDEUR PRINC AP.GAUCHE     	MATERIELS                     	MATERIEL VENTE                	396	135.1	-1	2
EFFET PAPILLON IPA 75VP       	BIERES                        	BIERE 75VP                    	405	4.096300013065	58	2
EFFET PAP PALE ALE 33VP       	BIERES                        	BIERE 20/25/33/35CL VP        	407	1.978679938316	43	2
GROUPE OCCASION               	MATERIELS                     	MATERIEL VENTE                	408	1471.35	-2	2
ADAPTATEUR RINCAGE TETE CREUSE	MATERIELS                     	VENTE MATERIEL MOBILE         	415	76.7	0	2
DAMIENS PACH V BLANC SEC 75CL 	VINS                          	MADIRAN / PACHERENC VIC BILH  	418	6.733999919891	0	2
FROID SEC 1 TIRAGE 1/3CV 70L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	423	1690	0	2
 LONGUEROCHE AURELIEN RGE 75CL	VINS                          	CORBIERES BLLE                	429	9.855000257492	0	2
GROUPE FC LINE CONV 70 -1/2CV 	MATERIELS                     	MATERIEL VENTE                	432	1471.35	0	2
LONGUEROCHE TRADITION RGE 75CL	VINS                          	CORBIERES BLLE                	434	6.3	79	2
LONGUEROCHE C RAOUL RGE 75CL  	VINS                          	CORBIERES BLLE                	436	15.45749974251	1	2
LONGUEROCHE C RESERVEE RG 75CL	VINS                          	CORBIERES BLLE                	437	8.5	22	2
BIB 10L FUT CHENE ROUGE       	VINS                          	CORBIERES BIB                 	438	32.36999950409	12	2
BIB 10L TRADITION ROUGE 12°5  	VINS                          	CORBIERES BIB                 	439	24.56999950409	11	2
BIB 5L FUT CHENE ROUGE        	VINS                          	CORBIERES BIB                 	440	19.36999950409	7	2
BIB 5L TRADITION ROUGE 12°5   	VINS                          	CORBIERES BIB                 	441	15.46999950409	7	2
SUZE 100CL                    	ALCOOL                        	GENTIANES                     	479	10.95	8	2
PASSOA 70CL                   	ALCOOL                        	LIQUEURS CREMES               	481	12.036	0	2
BIB 3L MUSCAT RIVESALTES      	VINS                          	MUSCAT                        	483	26.22100009918	3	2
MUSCAT VALAURIA 100CL         	VINS                          	MUSCAT                        	485	8.1	0	2
RATZ AMBREE 30L               	BIERES                        	BIERE FUT 30L                 	522	2.9	540	2
SAS PILS 30L                  	BIERES                        	BIERE FUT 30L                 	525	2.17	1980	2
HOMMELBIER 30L                	BIERES                        	BIERE FUT 30L                 	528	3.15	360	2
ST STEFANUS BLONDE 20L        	BIERES                        	BIERE FUT 20L                 	535	3.89	1260	2
RATZ BLANCHE 30L              	BIERES                        	BIERE FUT 30L                 	549	3.05	540	2
LUPULUS TRIPLE BLONDE 20L     	BIERES                        	BIERE FUT 20L                 	558	4.15	40	2
LUPULUS BRUNE 20L             	BIERES                        	BIERE FUT 20L                 	559	4.329360103607	0	2
DUPONT MONKS STOUT 20L        	BIERES                        	BIERE FUT 20L                 	561	3.939320135117	0	2
MOINETTE AMBREE 20L           	BIERES                        	BIERE FUT 20L                 	583	4.602236956358	640	2
BOON FRAMBOISE 25VC           	BIERES                        	BIERE 25CL VC                 	603	1.909040021896	55	2
BOON KRIEK 25VC               	BIERES                        	BIERE 25CL VC                 	604	1.534099954367	-4	2
BOON FARO 25VC                	BIERES                        	BIERE 25CL VC                 	605	1.357860016823	152	2
DUCHESSE BOURGOGNE 25VC       	BIERES                        	BIERE 25CL VC                 	610	1.627044993639	72	2
GRISETTE BLANCHE BIO 25VC     	BIERES                        	BIERE 25CL VC                 	611	1.186500036717	363	2
GRISETTE BLONDE BIO 25VC      	BIERES                        	BIERE 25CL VC                 	612	1.186500036717	-7	2
HOMMELBIER 25VC               	BIERES                        	BIERE 25CL VC                 	614	0.9928800344467	272	2
LINDEMANS KRIEK 25VC          	BIERES                        	BIERE 25CL VC                 	622	1.357054960728	-215	2
LINDEMANS GUEUZE 25VC         	BIERES                        	BIERE 25CL VC                 	625	1.027179968357	54	2
BLANCHE DE NAMUR 25VC         	BIERES                        	BIERE 25CL VC                 	627	0.9489199995995	-21	2
AREND BLONDE 33VC             	BIERES                        	BIERE 33CL VC                 	642	1.630607964993	0	2
BARBAR BLONDE MECA 33VC       	BIERES                        	BIERE 33CL VC                 	647	1.826130014658	81	2
ST BERNARDUS BLANCHE 33VC     	BIERES                        	BIERE 33CL VC                 	658	1.15608497262	-18	2
ST BERNARDUS TRIPLE 33VC      	BIERES                        	BIERE 33CL VC                 	659	1.538015085459	44	2
BRUGSE ZOT BLONDE 33VC        	BIERES                        	BIERE 33CL VC                 	664	1.587605017424	0	2
BUSH AMBREE CARACTERE 33VC    	BIERES                        	BIERE 33CL VC                 	665	1.77407501936	260	2
CAROLUS AMBRIO 33VC           	BIERES                        	BIERE 33CL VC                 	669	1.743624979258	28	2
CAROLUS CLASSIC 33VC          	BIERES                        	BIERE 33CL VC                 	670	1.70143006444	142	2
CAROLUS TRIPLE 33VC           	BIERES                        	BIERE 33CL VC                 	672	1.714479982853	6	2
CHIMAY TRIPLE 33VC            	BIERES                        	BIERE 33CL VC                 	673	1.579961950779	90	2
CHIMAY BLEU 33VC              	BIERES                        	BIERE 33CL VC                 	674	1.719480071068	40	2
DELIRIUM TREMENS 33VC         	BIERES                        	BIERE 33CL VC                 	679	1.768469974995	4	2
DE RANKE GULDENBERG 33VC      	BIERES                        	BIERE 33CL VC                 	699	1.64835999012	-22	2
GULDEN DRAAK 33VC             	BIERES                        	BIERE 33CL VC                 	701	1.488330044746	10	2
HERCULE STOUT 33VC X12        	BIERES                        	BIERE 33CL VC                 	706	2.34029994607	48	2
KAPITTEL BLONDE 33VC          	BIERES                        	BIERE 33CL VC                 	710	1.041180038452	325	2
KARMELIET TRIPLE 33VC         	BIERES                        	BIERE 33CL VC                 	714	1.84265999198	114	2
MOINETTE BLONDE 33VC          	BIERES                        	BIERE 33CL VC                 	726	1.601039981842	92	2
MOINETTE AMBREE 33VC          	BIERES                        	BIERE 33CL VC                 	729	1.662279963493	-1	2
ORVAL 33VC                    	BIERES                        	BIERE 33CL VC                 	732	1.830189996958	-77	2
PATER LIEVEN BLONDE 33VC      	BIERES                        	BIERE 33CL VC                 	734	1.359679985046	47	2
PATER LIEVEN BRUNE 33VC       	BIERES                        	BIERE 33CL VC                 	735	1.371860003471	3	2
PATER LIEVEN TRIPLE 33VC      	BIERES                        	BIERE 33CL VC                 	736	1.7112200737	44	2
ROCHEFORT 10 33VC             	BIERES                        	BIERE 33CL VC                 	746	2.25170493722	113	2
ROCHEFORT 6 33VC              	BIERES                        	BIERE 33CL VC                 	747	1.43492000401	112	2
ROCHEFORT 8 33VC              	BIERES                        	BIERE 33CL VC                 	748	1.768130069971	127	2
QUINTINE AMBREE 33VC X12      	BIERES                        	BIERE 33CL VC                 	751	1.997964055538	60	2
SAISON DUPONT 33VC            	BIERES                        	BIERE 33CL VC                 	752	1.302969974279	2439	2
QUINTINE BLONDE 33VC X12      	BIERES                        	BIERE 33CL VC                 	753	1.935500073433	69	2
ST BERNARDUS ABT 12 33VC      	BIERES                        	BIERE 33CL VC                 	756	1.594865956307	55	2
ST BERNARDUS PRIOR 8° 33VC    	BIERES                        	BIERE 33CL VC                 	757	1.430922060013	101	2
QUINTINE NOEL 33VC            	BIERES                        	BIERE NOEL/HIVER 25/33        	759	1.770408017635	0	2
ST FEUILLIEN GRAND CRU 33VC   	BIERES                        	BIERE 33CL VC                 	762	1.85010008812	2	2
STRAFFE HENDRIK TRIPLE 33VC   	BIERES                        	BIERE 33CL VC                 	764	1.887702019215	124	2
STRAFFE HENDRIK QUADRUPLE 33VC	BIERES                        	BIERE 33CL VC                 	765	2.187760043144	75	2
WESTMALLE DOUBLE 33VC         	BIERES                        	BIERE 33CL VC                 	782	1.349639979601	73	2
WESTMALLE TRIPLE 33VC         	BIERES                        	BIERE 33CL VC                 	783	1.787850058079	112	2
WITKAP TRIPLE 33VC            	BIERES                        	BIERE 33CL VC                 	785	1.664694027901	68	2
DE RANKE XX BITTER 33VC       	BIERES                        	BIERE 33CL VC                 	786	1.582964938879	215	2
LEFORT TRIPLE 33VC            	BIERES                        	BIERE 33CL VC                 	788	1.726080006361	25	2
DE RANK SAISON DOTTIGNIES 33VC	BIERES                        	BIERE 33CL VC                 	789	1.657880067825	33	2
DE RANKE NOIR DOTTIGNIES 33VC 	BIERES                        	BIERE 33CL VC                 	790	1.789760088921	-20	2
DE RANKE SIMPLEX BLONDE 33VC  	BIERES                        	BIERE 33CL VC                 	792	1.56512991786	177	2
DE RANKE BACK TO BLACK 75VC   	BIERES                        	BIERE 75VC                    	797	7.311941285133	18	2
BREWDOG BLACK JACQUES 33VP    	BIERES                        	BIERE 20/25/33/35CL VP        	799	8.653	3	2
BREWDOG TOKYO 33VP            	BIERES                        	BIERE 20/25/33/35CL VP        	806	7.003	0	2
GUE MOINES SERIE NOIRE 33VP   	BIERES                        	BIERE 20/25/33/35CL VP        	812	1.88972992301	63	2
GUE MOINES LABELLE NEIPA 33VP 	BIERES                        	BIERE 20/25/33/35CL VP        	820	2.292653925419	60	2
RATZ AMBREE 33VP              	BIERES                        	BIERE 20/25/33/35CL VP        	866	1.43531999588	125	2
RATZ BLANCHE 33VP             	BIERES                        	BIERE 20/25/33/35CL VP        	867	1.43531999588	86	2
RATZ BLONDE 33VP              	BIERES                        	BIERE 20/25/33/35CL VP        	868	1.431479033232	287	2
RATZ NOEL 33VP                	BIERES                        	BIERE NOEL/HIVER 25/33        	870	1.462184947729	0	2
ST PATRICK RATZ 33VP          	BIERES                        	BIERE 20/25/33/35CL VP        	872	1.452199921608	0	2
GUE MOINES ROI DE COEUR 33VP  	BIERES                        	BIERE 20/25/33/35CL VP        	873	1.919095985889	273	2
GUE MOINES GAME OVER 33VP     	BIERES                        	BIERE 20/25/33/35CL VP        	874	1.94690702796	183	2
ST STEFANUS ABBAYE BLONDE 33VP	BIERES                        	BIERE 20/25/33/35CL VP        	875	2.16160004139	0	2
GUE MOINES BLDE OCCITANIE 33VP	BIERES                        	BIERE 20/25/33/35CL VP        	877	1.697156066895	299	2
BACCHUS FRAMBOISE 37.5VC      	BIERES                        	BIERE 37.5CL                  	887	2.655530053377	-48	2
MOINETTE BONS VOEUX 37,5VC    	BIERES                        	BIERE 37.5CL                  	888	2.286899971962	964	2
BOON OUDE GUEUZE 37.5VC       	BIERES                        	BIERE 37.5CL                  	891	2.652774941921	-41	2
GUE MOINES PREAMBULE 33VP     	BIERES                        	BIERE 20/25/33/35CL VP        	892	1.94690702796	182	2
OUD BEERSEL OUDE GUEUZE 37.5VP	BIERES                        	BIERE 37.5CL                  	895	4.07708407402	22	2
SCHLENKERLA RAUCH. MAERZ. 50VC	BIERES                        	BIERE 50CL VC                 	936	1.83126003027	100	2
MJG COLLIOURE ROUGE 75CL      	VINS                          	COLLIOURE                     	937	6.84	6	2
DUO PRESTIGE BLANC 75CL       	VINS                          	COTES CATALANES               	947	7.2	4	2
AUTHENTIQUE DU MAS RGE 75CL   	VINS                          	COTES CATALANES               	949	5.67	21	2
BLANCHE DES HONNELLES 75VC    	BIERES                        	BIERE 75VC                    	951	3.022061891556	0	2
BLANCHE DE NAMUR 75VC         	BIERES                        	BIERE 75VC                    	952	2.570539975166	0	2
MOINETTE BONS VOEUX 75VC      	BIERES                        	BIERE 75VC                    	953	3.987760162354	498	2
BOON OUDE GUEUZE 75VP         	BIERES                        	BIERE 75VP                    	955	5.026373848915	35	2
CANTILLON GUEUZE BIO 75VP     	BIERES                        	BIERE 75VP                    	962	8.38613986969	-6	2
CANTILLON KRIEK BIO 75VP      	BIERES                        	BIERE 75VP                    	963	10.93150384426	41	2
CAROLUS CUV IMPERIAL BLDE 75VP	BIERES                        	BIERE 75VP                    	966	6.595591082573	4	2
CAROLUS C. IMPERIAL DARK 75VP 	BIERES                        	BIERE 75VP                    	967	6.078553190231	6	2
DUCHESSE DE BOURGOGNE 75VC    	BIERES                        	BIERE 75VC                    	975	4.620377926827	8	2
HANSSENS OUDE KRIEK 75VC      	BIERES                        	BIERE 75VC                    	977	6.265	1	2
HOMMELBIER 75VC               	BIERES                        	BIERE 75VC                    	978	2.659999966621	72	2
SEDUCTION RGE 75CL            	VINS                          	COTES CATALANES               	980	5.85	36	2
KAPITTEL BLONDE 75VC          	BIERES                        	BIERE 75VC                    	982	2.642500066757	84	2
KARMELIET TRIPLE 75VP   X6    	BIERES                        	BIERE 75VP                    	983	4.670160140991	2	2
KASTEEL CUV. CHATEAU 75VC     	BIERES                        	BIERE 75VC                    	985	3.289	12	2
SEDUCTION BLANC 75CL          	VINS                          	COTES CATALANES               	991	5.85	-2	2
LINDEMANS KRIEK 75VP          	BIERES                        	BIERE 75VP                    	993	3.794447908402	4	2
MJG BRIU BLANC MUSCAT SEC 75CL	VINS                          	IGP OC                        	995	3.6	98	2
LUPULUS TRIPLE BLONDE 75VC    	BIERES                        	BIERE 75VC                    	996	3.54606013298	-12	2
LUPULUS BRUNE 75VC            	BIERES                        	BIERE 75VC                    	997	3.560060119629	17	2
MOINETTE BIO 75VC             	BIERES                        	BIERE 75VC                    	1000	3.965360116959	67	2
MOINETTE BLONDE 75VC          	BIERES                        	BIERE 75VC                    	1001	3.72620985508	24	2
MOINETTE AMBREE 75VC          	BIERES                        	BIERE 75VC                    	1004	3.556699895859	39	2
MJG BRIU BANYULS AOC 75CL     	VINS                          	COTES DU ROUSSILLON           	1006	7.2	18	2
MJG BRIU TAUTAVEL 75CL        	VINS PERMANENTS               	COTES DU ROUSSILLON VILLAGE   	1010	5.49	15	2
SAISON DUPONT 75VC            	BIERES                        	BIERE 75VC                    	1011	3.022525107861	247	2
ST BERNARDUS TRIPLE 75VP      	BIERES                        	BIERE 75VP                    	1012	4.145756890774	-8	2
BRUGSE ZOT BLONDE 75VP        	BIERES                        	BIERE 75VP                    	1028	4.001171951294	0	2
CUVEE DES TROLLS TRIPLE 75VP  	BIERES                        	BIERE 75VP                    	1030	4.181625115871	0	2
PAIX DIEU TRIPLE 33VC X12     	BIERES                        	BIERE 33CL VC                 	1036	1.965329951048	23	2
PANNEAU MURAL PVC BLANC       	MATERIELS                     	VENTE MATERIEL MOBILE         	1041	123.6	0	2
FLEXIBLE HP 1,5 M AVEC CABLE  	MATERIELS                     	MATERIEL VENTE                	1042	103.37	0	2
RATZ AMBREE 75VP              	BIERES                        	BIERE 75VP                    	1050	2.958984146118	40	2
RATZ BLANCHE 75VP             	BIERES                        	BIERE 75VP                    	1051	2.958984146118	80	2
RATZ BLONDE 75VP              	BIERES                        	BIERE 75VP                    	1052	2.958984146118	86	2
ST BERNARDUS ABT 12 75VP      	BIERES                        	BIERE 75VP                    	1055	4.89117395401	0	2
ST FEUILLIEN GRAND CRU 75VP   	BIERES                        	BIERE 75VP                    	1056	4.415580153465	0	2
STRAFFE HENDRIK QUADRUPLE 75VP	BIERES                        	BIERE 75VP                    	1057	5.265470147133	35	2
STRAFFE HENDRIK TRIPLE 75VP   	BIERES                        	BIERE 75VP                    	1059	5.022095961571	0	2
MISTER B BAHIA GUAVA 20LK     	BIERES                        	BIERE FUT 20L                 	1062	4.09359998703	400	2
MOINETTE BONS VOEUX 150VP     	BIERES                        	BIERE 150 CL/200CL            	1064	16.68424472809	17	2
MISTER B BESTIA IPA 33BTE     	BIERES                        	BIERE 33/44/50 CL BTE         	1065	1.846665018797	408	2
CHIMAY PREMIERE BLEUE 150VP   	BIERES                        	BIERE 150 CL/200CL            	1067	12.84452996924	0	2
LUPULUS TRIPLE KRUSH 150VP    	BIERES                        	BIERE 150 CL/200CL            	1073	11.56820383072	6	2
MISTER B BAHIA GUAVA 33BTE    	BIERES                        	BIERE 33/44/50 CL BTE         	1079	1.847204947472	217	2
ADAPTATEUR RINCAGE U          	MATERIELS                     	VENTE MATERIEL MOBILE         	1080	90.12	0	2
ST FEUILLIEN TRIPLE 900VC     	BIERES                        	BIERE 900 CL                  	1084	69.50566585541	0	2
PRESSION 25CL A 3.50€         	BIERES                        	BIERE PRESSION COMPTOIR       	1086	1.95	-9	2
PRESSION 50CL A 6€            	BIERES                        	BIERE PRESSION COMPTOIR       	1087	3	-7	2
 PRESSION SPEC 25CL À 4.50    	BIERES                        	BIERE PRESSION COMPTOIR       	1094	2.5	-14	2
PRESSION SPEC 50CL À 8.50     	BIERES                        	BIERE PRESSION COMPTOIR       	1095	4.5	-27	2
TETE DE SOUTIRAGE U           	MATERIELS                     	VENTE MATERIEL MOBILE         	1097	153.66	0	2
DE RANKE PERE NOEL 33VC       	BIERES                        	BIERE NOEL/HIVER 25/33        	1121	1.73851993084	84	2
ST BERNARDUS XMAS 33VC        	BIERES                        	BIERE NOEL/HIVER 25/33        	1123	1.702202041149	0	2
ST FEUILLIEN NOEL 33VC        	BIERES                        	BIERE NOEL/HIVER 25/33        	1124	1.186837983131	0	2
ST BERNARDUS XMAS 75VP  X6    	BIERES                        	BIERE NOEL/HIVER 75           	1134	4.36760995388	0	2
DUPONT MOINETTE BONS VOEUX 20L	BIERES                        	BIERE NOEL/HIVER FUT          	1141	5.299280166626	0	2
COGNAC GAUTIER VS 70CL        	ALCOOL                        	COGNAC                        	1152	28	2	2
ANGELUS BLONDE 75VP           	BIERES                        	BIERE 75VP                    	1161	3.538484930992	0	2
DOUILLE INOX 3/8 – 3/8        	MATERIELS                     	MATERIEL VENTE                	1163	6.74	0	2
MISTER B BAMBA 33BTE          	BIERES                        	BIERE 33/44/50 CL BTE         	1168	2.041334974766	432	2
MISTER B BUBBA  33BTE         	BIERES                        	BIERE 33/44/50 CL BTE         	1170	2.20221397996	-16	2
DE MOLEN HEMEL & AARDE 33VP   	BIERES                        	BIERE 20/25/33/35CL VP        	1187	3.053	2	2
MARTINI ROSATO 100CL          	ALCOOL                        	VERMOUTHS                     	1203	10.45200004578	10	2
DE RANKE FRANC BELGE 33VC     	BIERES                        	BIERE 33CL VC                 	1207	1.673155039549	470	2
JAMBE DE BOIS TRIPLE 33VC     	BIERES                        	BIERE 33CL VC                 	1232	1.833234983683	123	2
MISTER B BAZOOKA DIPA 33BTE   	BIERES                        	BIERE 33/44/50 CL BTE         	1233	2.041334974766	0	2
SAKE CHOYA 75CL               	ALCOOL                        	ALCOOL DE RIZ                 	1242	12.9	0	2
TARAS BOULBA EXTRA HOPPY 33VC 	BIERES                        	BIERE 33CL VC                 	1245	1.563659954071	164	2
GROLSCH PREMIUM PILSNER 30L   	BIERES                        	BIERE FUT 30L                 	1263	2.95	1230	2
GUINNESS 30L                  	BIERES                        	BIERE FUT 30L                 	1264	4.27	990	2
TIBIDABO BARREL 1 STOUT 20LK  	BIERES                        	BIERE FUT 20L                 	1270	7.53	20	2
AXIS T 3 TIRAGE FUT NOIR      	MATERIELS                     	MATERIEL VENTE                	1272	1113	0	2
GROUPE FC LINE CONV 40 1/4CV  	MATERIELS                     	MATERIEL VENTE                	1274	990.57	0	2
PANNEAU MURAL PVC BLANC       	MATERIELS                     	VENTE MATERIEL MOBILE         	1277	51.5	3	2
LICORNE 30L INOX              	BIERES                        	BIERE FUT 30L                 	1279	2.87	-270	2
PANNEAU THERMOPRESSION 380X260	MATERIELS                     	VENTE MATERIEL MOBILE         	1280	49.92	0	2
EGOUTTOIR GRILLE TOTAL INOX304	MATERIELS                     	MATERIEL VENTE                	1282	434.69	0	2
PILSNER URQUELL BLONDE 30L    	BIERES                        	BIERE FUT 30L                 	1286	3.487500071526	0	2
ECARTEUR GROUPE MOUSSE        	MATERIELS                     	MATERIEL VENTE                	1292	2.36	0	2
COUVERCLE H40 COIN DROIT      	MATERIELS                     	MATERIEL VENTE                	1293	157.28	0	2
COUVERCLE H40 COIN BISOTE     	MATERIELS                     	MATERIEL VENTE                	1294	152.7	0	2
TUYAU ALIMENTAIRE TRESSE 8X14 	MATERIELS                     	MATERIEL VENTE                	1295	89	0	2
CIRCLIPS GUEST 3/8 (9.5MM)    	MATERIELS                     	MATERIEL VENTE                	1296	0.6	0	2
